t_ps,beta_core_rmsd,contact_jaccard
27550,9.5336,0.5430
27600,9.4520,0.5420
27650,9.5050,0.5558
27700,9.0770,0.5248
27750,9.1867,0.5364
27800,8.9570,0.5381
27850,9.1884,0.5519
27900,8.9034,0.5339
27950,8.9719,0.5509
28000,8.8808,0.5449
28050,8.9466,0.5339
28100,9.2947,0.5352
28150,8.6815,0.5320
28200,9.1999,0.5294
28250,8.7135,0.5255
28300,9.4995,0.5207
28350,9.4148,0.5308
28400,9.2259,0.5242
28450,9.5744,0.5175
28500,10.0240,0.5253
28550,10.1077,0.5209
28600,9.5954,0.5165
28650,9.6672,0.5438
28700,9.8010,0.5188
28750,9.7416,0.5222
28800,9.6252,0.5153
28850,9.4681,0.5231
28900,9.2942,0.5320
28950,9.5629,0.5154
29000,9.2870,0.5132
29050,9.2024,0.5175
29100,9.3998,0.5152
29150,8.9994,0.5173
29200,9.0887,0.5352
29250,9.2972,0.5187
29300,9.5034,0.5310
29350,9.2682,0.5243
29400,9.2176,0.5299
29450,9.1461,0.5285
29500,9.2100,0.5176
29550,8.8703,0.5345
29600,9.2547,0.5187
29650,9.7200,0.5385
29700,9.4911,0.5066
29750,9.4348,0.5141
29800,9.5315,0.5265
29850,9.4068,0.5164
29900,9.7216,0.5097
29950,9.2403,0.5202
30000,9.2516,0.5220
30050,9.2153,0.5185
30100,9.5211,0.5088
30150,9.8529,0.5109
30200,9.3262,0.5142
30250,9.3022,0.5077
30300,8.8189,0.5154
30350,9.0383,0.5121
30400,9.0391,0.5209
30450,9.1462,0.5120
30500,9.1379,0.4924
30550,8.8091,0.5190
30600,8.9260,0.5130
30650,9.0058,0.5033
30700,8.9155,0.5143
30750,8.9912,0.5077
30800,9.1148,0.5133
30850,9.1934,0.4935
30900,8.7216,0.5055
30950,8.6084,0.5241
31000,8.8936,0.5132
31050,8.8187,0.5187
31100,9.1347,0.5154
31150,9.1082,0.5276
31200,8.8057,0.5263
31250,9.1131,0.5164
31300,9.1489,0.5253
31350,9.1282,0.5174
31400,9.3720,0.5130
31450,9.5774,0.5265
31500,9.8847,0.5315
31550,9.6851,0.5263
31600,9.4249,0.5275
31650,9.8226,0.5294
31700,9.8953,0.5043
31750,9.9634,0.5293
31800,9.9444,0.5251
31850,9.7649,0.5373
31900,9.9409,0.5310
31950,9.5701,0.5176
32000,9.6318,0.5307
32050,9.8313,0.5022
32100,9.5257,0.5230
32150,9.8706,0.5197
32200,9.5779,0.5110
32250,9.6288,0.5163
32300,9.8286,0.5320
32350,9.9672,0.5152
32400,9.9127,0.5022
32450,9.3660,0.5000
32500,9.7640,0.5122
32550,9.5257,0.5211
32600,9.3450,0.5199
32650,8.9540,0.5022
32700,8.8042,0.5188
32750,8.9532,0.4892
32800,9.1414,0.4967
32850,8.9626,0.4749
32900,9.2340,0.4989
32950,9.1480,0.4935
33000,9.3559,0.5131
33050,9.3002,0.5011
33100,9.3952,0.5207
33150,9.6056,0.5152
33200,9.3343,0.5033
33250,9.4142,0.4956
33300,9.2815,0.4957
