t_ps,beta_core_rmsd,contact_jaccard
20750,5.4595,0.6350
20800,5.1505,0.6256
20850,5.2237,0.6371
20900,4.9557,0.6177
20950,4.9411,0.6478
21000,5.1357,0.6297
21050,4.7983,0.6533
21100,5.0675,0.6421
21150,5.1948,0.6472
21200,4.8763,0.6393
21250,4.9735,0.6441
21300,5.2525,0.6193
21350,5.3015,0.6182
21400,4.7015,0.6532
21450,4.9351,0.6286
21500,4.9877,0.6432
21550,5.1123,0.6500
21600,4.9707,0.6348
21650,4.9722,0.6500
21700,5.3136,0.6395
21750,5.1455,0.6238
21800,4.8780,0.6387
21850,5.2959,0.6346
21900,5.2973,0.6235
21950,5.2398,0.6330
22000,5.5132,0.6146
22050,5.7560,0.6143
22100,5.3127,0.6222
22150,5.5947,0.6284
22200,5.6279,0.6194
22250,5.7491,0.6064
22300,6.2634,0.6133
22350,6.1959,0.6152
22400,6.1442,0.6167
22450,6.3935,0.6145
22500,6.1383,0.6514
22550,5.9751,0.6256
22600,6.1511,0.6210
22650,6.5679,0.6199
22700,6.4013,0.6232
22750,6.2441,0.6184
22800,6.1175,0.6259
22850,6.0570,0.6309
22900,6.2032,0.6324
22950,6.2723,0.6326
23000,6.2511,0.6305
23050,6.0122,0.6499
23100,6.2688,0.6390
23150,6.1936,0.6335
23200,5.9044,0.6308
23250,5.4170,0.6370
23300,5.2758,0.6286
23350,5.4234,0.6268
23400,5.4923,0.6259
23450,5.5740,0.6200
23500,5.4589,0.6491
23550,5.7082,0.6187
23600,5.6760,0.6460
23650,6.0701,0.6392
23700,6.3120,0.6238
23750,6.1965,0.6343
23800,5.5276,0.6411
23850,5.6782,0.6423
23900,5.6650,0.6213
23950,5.6210,0.6441
24000,5.3362,0.6247
24050,5.1787,0.6148
24100,5.3418,0.6400
24150,5.1123,0.6439
24200,5.0427,0.6650
24250,5.1004,0.6375
24300,5.2123,0.6508
24350,5.1922,0.6346
24400,5.1007,0.6489
24450,5.4653,0.6368
24500,5.3184,0.6414
24550,5.4332,0.6336
24600,5.8376,0.6294
24650,5.8187,0.6412
24700,5.4820,0.6276
24750,5.7755,0.6320
24800,5.6384,0.6403
24850,5.7354,0.6228
24900,5.6772,0.5990
24950,6.0811,0.6314
25000,5.8469,0.6263
25050,5.6775,0.6421
25100,5.8150,0.6204
25150,5.9447,0.6179
25200,5.8179,0.6408
25250,5.5878,0.6205
25300,5.7333,0.6421
25350,5.2540,0.6207
25400,5.3317,0.6256
25450,5.3805,0.6412
25500,5.9967,0.6267
25550,6.1396,0.6211
25600,5.9617,0.6178
25650,5.7654,0.6299
25700,5.9654,0.6257
25750,5.9615,0.6021
25800,6.1586,0.6335
25850,5.7246,0.6172
25900,5.5899,0.6412
25950,5.9510,0.5990
26000,5.9309,0.6195
26050,5.7986,0.6168
26100,5.8598,0.6282
26150,5.4657,0.6130
26200,5.5124,0.6272
26250,5.5153,0.6279
26300,5.6213,0.6035
26350,5.7893,0.6296
26400,5.9457,0.6250
26450,5.7263,0.6260
26500,5.8686,0.6234
26550,5.4607,0.6081
26600,5.3923,0.6093
26650,5.3014,0.6160
26700,5.1896,0.5859
26750,5.6757,0.6055
26800,5.0600,0.5903
26850,5.0457,0.5945
26900,5.0915,0.5766
26950,5.0143,0.5810
27000,4.7630,0.5775
27050,4.7345,0.5931
27100,5.0551,0.5829
27150,5.2914,0.5800
27200,5.1793,0.6154
27250,4.5575,0.6177
27300,5.2173,0.5721
27350,5.1278,0.6076
27400,5.0813,0.5925
27450,4.8810,0.5954
27500,4.9230,0.6010
27550,4.8326,0.6095
27600,5.2133,0.6216
27650,5.3199,0.6110
27700,5.2164,0.6212
27750,5.4379,0.6055
27800,5.3512,0.6125
27850,5.2337,0.6079
27900,5.3945,0.6111
27950,5.3632,0.6314
28000,5.0935,0.6030
28050,5.6332,0.6189
28100,5.5053,0.5837
28150,5.0358,0.6079
28200,5.6318,0.5872
28250,5.6659,0.5725
28300,6.0300,0.5895
28350,5.6325,0.5659
28400,5.7475,0.5852
28450,5.5328,0.6010
28500,5.4826,0.5966
28550,5.5747,0.5911
28600,5.4140,0.5764
28650,5.6147,0.5871
28700,5.4889,0.6015
28750,5.6787,0.5704
28800,5.3978,0.5764
28850,5.4235,0.5786
28900,5.4953,0.5815
28950,5.4457,0.5865
29000,5.6164,0.5784
29050,6.0967,0.5805
29100,6.0847,0.5659
29150,5.9006,0.5537
29200,6.2269,0.5648
29250,6.5119,0.5784
29300,6.4774,0.5721
